state,county,year,unemployment,population,county_fips
1,1,2008,5.3,24.687,01001
1,3,2008,4.8,83.205,01003
1,5,2008,9.1,10.175,01005
1,7,2008,6.0,8.751,01007
1,9,2008,4.8,26.693,01009
1,11,2008,10.9,3.641,01011
1,13,2008,8.8,9.063,01013
1,15,2008,5.9,54.574,01015
1,17,2008,14.9,15.066,01017
1,19,2008,5.9,11.999,01019
1,21,2008,5.2,19.609,01021
1,23,2008,8.6,5.076,01023
1,25,2008,9.3,10.366,01025
1,27,2008,8.2,5.739,01027
1,29,2008,5.2,6.557,01029
1,31,2008,5.0,20.908,01031
1,33,2008,6.7,25.171,01033
1,35,2008,9.7,4.886,01035
1,37,2008,8.5,4.664,01037
1,39,2008,6.1,16.805,01039
1,41,2008,5.7,6.464,01041
1,43,2008,5.0,39.092,01043
1,45,2008,5.6,19.834,01045
1,47,2008,11.5,15.508,01047
1,49,2008,6.0,30.689,01049
1,51,2008,5.3,36.219,01051
1,53,2008,7.8,14.424,01053
1,55,2008,6.2,45.741,01055
1,57,2008,7.5,7.123,01057
1,59,2008,7.7,13.389,01059
1,61,2008,5.7,11.338,01061
1,63,2008,8.8,3.284,01063
1,65,2008,7.7,6.997,01065
1,67,2008,8.0,7.383,01067
1,69,2008,5.1,46.447,01069
1,71,2008,6.4,26.866,01071
1,73,2008,5.6,311.643,01073
1,75,2008,8.3,5.698,01075
1,77,2008,5.9,42.878,01077
1,79,2008,6.7,15.874,01079
1,81,2008,5.4,65.191,01081
1,83,2008,4.9,37.419,01083
1,85,2008,11.3,4.861,01085
1,87,2008,7.7,9.112,01087
1,89,2008,4.3,168.276,01089
1,91,2008,7.7,7.985,01091
1,93,2008,8.2,12.727,01093
1,95,2008,4.9,41.694,01095
1,97,2008,5.9,187.3,01097
1,99,2008,10.5,8.806,01099
1,101,2008,6.1,106.185,01101
1,103,2008,5.4,56.997,01103
1,105,2008,11.7,3.6,01105
1,107,2008,7.4,7.931,01107
1,109,2008,5.0,15.803,01109
1,111,2008,7.6,9.616,01111
1,113,2008,8.3,21.717,01113
1,115,2008,5.2,36.48,01115
1,117,2008,3.9,101.102,01117
1,119,2008,9.1,4.728,01119
1,121,2008,7.5,38.306,01121
1,123,2008,7.4,18.192,01123
1,125,2008,4.9,89.168,01125
1,127,2008,5.9,28.764,01127
1,129,2008,8.7,6.891,01129
1,131,2008,14.4,3.493,01131
1,133,2008,8.9,9.995,01133
2,13,2008,8.4,1.141,02013
2,16,2008,5.6,3.055,02016
2,20,2008,5.2,151.84,02020
2,50,2008,13.4,6.9,02050
2,60,2008,4.7,1.006,02060
2,68,2008,5.9,1.601,02068
2,70,2008,9.0,2.061,02070
2,90,2008,5.9,45.9,02090
2,100,2008,8.6,1.354,02100
2,110,2008,4.6,18.755,02110
2,122,2008,7.9,26.253,02122
2,130,2008,5.7,8.281,02130
2,150,2008,6.6,6.386,02150
2,158,2008,19.9,2.597,02158
2,164,2008,6.6,1.134,02164
2,170,2008,7.3,41.424,02170
2,180,2008,10.0,3.976,02180
2,185,2008,4.1,5.138,02185
2,188,2008,11.2,2.969,02188
2,201,2008,13.4,2.327,02201
2,220,2008,5.6,4.612,02220
2,232,2008,12.5,1.912,02232
2,240,2008,8.5,3.544,02240
2,261,2008,8.1,5.243,02261
2,280,2008,10.3,2.802,02280
2,282,2008,7.2,0.319,02282
2,290,2008,13.6,2.771,02290
4,1,2008,11.0,21.131,04001
4,3,2008,5.5,60.117,04003
4,5,2008,5.3,73.026,04005
4,7,2008,6.1,22.258,04007
4,9,2008,6.7,16.083,04009
4,11,2008,5.0,4.398,04011
4,12,2008,7.3,7.523,04012
4,13,2008,5.1,1966.052,04013
4,15,2008,7.2,92.235,04015
4,17,2008,9.5,39.094,04017
4,19,2008,5.5,473.209,04019
4,21,2008,7.0,121.87,04021
4,23,2008,10.4,17.783,04023
4,25,2008,5.8,97.796,04025
4,27,2008,17.4,83.416,04027
5,1,2008,9.7,11.999,05001
5,3,2008,7.5,9.342,05003
5,5,2008,6.0,17.478,05005
5,7,2008,4.1,105.357,05007
5,9,2008,5.4,16.832,05009
5,11,2008,7.2,5.549,05011
5,13,2008,6.1,2.58,05013
5,15,2008,4.5,14.082,05015
5,17,2008,8.2,4.902,05017
5,19,2008,5.9,10.913,05019
5,21,2008,8.0,6.598,05021
5,23,2008,5.6,11.957,05023
5,25,2008,5.8,4.083,05025
5,27,2008,6.9,10.787,05027
5,29,2008,5.5,10.107,05029
5,31,2008,4.8,45.985,05031
5,33,2008,4.8,28.355,05033
5,35,2008,7.9,22.307,05035
5,37,2008,6.8,8.449,05037
5,39,2008,7.2,3.857,05039
5,41,2008,8.7,5.865,05041
5,43,2008,7.8,8.393,05043
5,45,2008,4.7,55.531,05045
5,47,2008,4.4,8.458,05047
5,49,2008,5.2,5.178,05049
5,51,2008,5.6,42.236,05051
5,53,2008,5.2,8.581,05053
5,55,2008,6.5,18.882,05055
5,57,2008,5.7,10.597,05057
5,59,2008,6.5,15.014,05059
5,61,2008,5.5,6.298,05061
5,63,2008,6.9,16.9,05063
5,65,2008,6.7,5.405,05065
5,67,2008,7.7,7.826,05067
5,69,2008,7.6,34.882,05069
5,71,2008,4.7,11.483,05071
5,73,2008,7.0,3.03,05073
5,75,2008,7.1,7.213,05075
5,77,2008,8.5,3.571,05077
5,79,2008,8.0,4.944,05079
5,81,2008,3.9,6.662,05081
5,83,2008,6.5,10.3,05083
5,85,2008,4.4,32.049,05085
5,87,2008,4.4,7.661,05087
5,89,2008,6.2,6.873,05089
5,91,2008,4.0,19.988,05091
5,93,2008,7.6,21.776,05093
5,95,2008,6.4,3.81,05095
5,97,2008,5.6,4.15,05097
5,99,2008,6.7,4.225,05099
5,101,2008,5.6,3.458,05101
5,103,2008,6.3,11.826,05103
5,105,2008,5.6,4.76,05105
5,107,2008,7.1,8.93,05107
5,109,2008,6.0,5.056,05109
5,111,2008,6.4,10.657,05111
5,113,2008,5.1,8.806,05113
5,115,2008,4.9,30.116,05115
5,117,2008,5.6,4.369,05117
5,119,2008,4.7,189.49,05119
5,121,2008,8.1,7.497,05121
5,123,2008,9.3,10.292,05123
5,125,2008,4.4,49.402,05125
5,127,2008,4.7,4.827,05127
5,129,2008,5.3,3.591,05129
5,131,2008,4.9,61.428,05131
5,133,2008,4.0,7.543,05133
5,135,2008,7.5,6.237,05135
5,137,2008,6.5,4.683,05137
5,139,2008,6.3,19.046,05139
5,141,2008,6.6,6.991,05141
5,143,2008,4.2,102.564,05143
5,145,2008,5.9,32.864,05145
5,147,2008,7.9,3.474,05147
5,149,2008,4.5,10.517,05149
6,1,2008,6.2,756.795,06001
6,3,2008,10.5,0.466,06003
6,5,2008,7.7,17.806,06005
6,7,2008,8.5,102.869,06007
6,9,2008,8.7,20.632,06009
6,11,2008,13.9,10.501,06011
6,13,2008,6.2,523.981,06013
6,15,2008,8.8,11.368,06015
6,17,2008,7.0,90.644,06017
6,19,2008,10.6,429.911,06019
6,21,2008,10.5,12.189,06021
6,23,2008,7.3,59.983,06023
6,25,2008,22.6,72.509,06025
6,27,2008,6.6,9.092,06027
6,29,2008,9.9,359.331,06029
6,31,2008,10.6,58.767,06031
6,33,2008,10.7,24.54,06033
6,35,2008,9.6,12.826,06035
6,37,2008,7.5,4923.903,06037
6,39,2008,9.5,65.054,06039
6,41,2008,4.7,132.263,06041
6,43,2008,7.6,9.278,06043
6,45,2008,6.9,43.233,06045
6,47,2008,12.7,102.211,06047
6,49,2008,9.7,3.939,06049
6,51,2008,5.9,8.609,06051
6,53,2008,8.5,212.165,06053
6,55,2008,5.1,75.582,06055
6,57,2008,6.6,50.377,06057
6,59,2008,5.3,1616.256,06059
6,61,2008,6.5,177.065,06061
6,63,2008,10.6,9.817,06063
6,65,2008,8.6,912.039,06065
6,67,2008,7.2,679.749,06067
6,69,2008,9.7,24.852,06069
6,71,2008,8.1,862.596,06071
6,73,2008,6.1,1546.617,06073
6,75,2008,5.3,457.204,06075
6,77,2008,10.5,293.019,06077
6,79,2008,5.8,136.469,06079
6,81,2008,4.9,372.532,06081
6,83,2008,5.5,218.183,06083
6,85,2008,6.0,869.347,06085
6,87,2008,7.4,146.188,06087
6,89,2008,10.1,82.622,06089
6,91,2008,10.6,1.59,06091
6,93,2008,10.2,19.214,06093
6,95,2008,6.9,211.167,06095
6,97,2008,5.8,259.757,06097
6,99,2008,11.1,231.84,06099
6,101,2008,12.4,41.082,06101
6,103,2008,9.2,25.166,06103
6,105,2008,12.8,4.853,06105
6,107,2008,10.9,199.013,06107
6,109,2008,8.0,25.779,06109
6,111,2008,6.3,429.007,06111
6,113,2008,7.4,98.348,06113
6,115,2008,12.0,27.716,06115
8,1,2008,5.4,227.365,08001
8,3,2008,5.2,8.41,08003
8,5,2008,4.9,314.696,08005
8,7,2008,5.1,6.567,08007
8,9,2008,3.4,2.256,08009
8,11,2008,6.2,2.357,08011
8,13,2008,4.2,178.629,08013
8,14,2008,4.5,31.046,08014
8,15,2008,4.5,8.417,08015
8,17,2008,2.7,1.264,08017
8,19,2008,4.6,5.689,08019
8,21,2008,7.3,3.658,08021
8,23,2008,7.8,1.288,08023
8,25,2008,7.4,1.833,08025
8,27,2008,5.1,1.924,08027
8,29,2008,4.4,16.608,08029
8,31,2008,5.4,325.465,08031
8,33,2008,7.2,0.99,08033
8,35,2008,4.2,162.039,08035
8,37,2008,3.6,31.874,08037
8,39,2008,4.8,13.105,08039
8,41,2008,5.7,302.182,08041
8,43,2008,6.4,19.868,08043
8,45,2008,3.1,36.991,08045
8,47,2008,4.2,3.492,08047
8,49,2008,3.7,9.207,08049
8,51,2008,3.6,9.566,08051
8,53,2008,3.4,0.648,08053
8,55,2008,6.4,3.457,08055
8,57,2008,3.3,1.089,08057
8,59,2008,4.7,309.867,08059
8,61,2008,3.7,0.855,08061
8,63,2008,3.4,4.375,08063
8,65,2008,4.6,4.128,08065
8,67,2008,3.6,31.631,08067
8,69,2008,4.2,176.659,08069
8,71,2008,4.5,8.852,08071
8,73,2008,3.7,2.908,08073
8,75,2008,3.9,11.273,08075
8,77,2008,3.9,82.329,08077
8,79,2008,5.4,0.478,08079
8,81,2008,3.8,8.782,08081
8,83,2008,5.2,12.986,08083
8,85,2008,5.0,20.902,08085
8,87,2008,4.3,14.174,08087
8,89,2008,6.0,8.763,08089
8,91,2008,3.7,3.037,08091
8,93,2008,4.8,9.741,08093
8,95,2008,3.4,2.253,08095
8,97,2008,3.3,11.646,08097
8,99,2008,4.5,6.572,08099
8,101,2008,6.1,73.763,08101
8,103,2008,2.6,5.148,08103
8,105,2008,5.7,6.464,08105
8,107,2008,3.4,15.692,08107
8,109,2008,7.2,3.06,08109
8,111,2008,5.6,0.571,08111
8,113,2008,3.9,5.556,08113
8,115,2008,3.2,1.542,08115
8,117,2008,3.8,17.11,08117
8,119,2008,5.5,12.36,08119
8,121,2008,3.3,2.673,08121
8,123,2008,5.2,119.726,08123
8,125,2008,2.7,6.547,08125
9,1,2008,5.1,470.482,09001
9,3,2008,6.0,459.529,09003
9,5,2008,5.3,105.491,09005
9,7,2008,4.8,94.388,09007
9,9,2008,6.2,448.557,09009
9,11,2008,5.4,149.933,09011
9,13,2008,4.8,85.152,09013
9,15,2008,6.5,64.587,09015
10,1,2008,5.0,76.008,10001
10,3,2008,5.0,279.751,10003
10,5,2008,5.1,94.505,10005
11,1,2008,6.8,334.487,11001
12,1,2008,4.0,130.644,12001
12,3,2008,5.3,12.171,12003
12,5,2008,5.1,88.132,12005
12,7,2008,4.5,12.41,12007
12,9,2008,6.1,266.986,12009
12,11,2008,5.0,1000.985,12011
12,13,2008,5.0,5.724,12013
12,15,2008,7.6,68.94,12015
12,17,2008,7.6,56.134,12017
12,19,2008,5.0,95.447,12019
12,21,2008,6.4,147.3,12021
12,23,2008,5.2,31.375,12023
12,27,2008,6.3,14.676,12027
12,29,2008,6.9,5.453,12029
12,31,2008,5.8,443.919,12031
12,33,2008,5.6,137.128,12033
12,35,2008,9.0,31.611,12035
12,37,2008,4.4,4.792,12037
12,39,2008,5.7,20.971,12039
12,41,2008,5.3,7.781,12041
12,43,2008,6.4,4.641,12043
12,45,2008,5.8,6.326,12045
12,47,2008,6.6,4.755,12047
12,49,2008,6.2,11.677,12049
12,51,2008,10.1,17.372,12051
12,53,2008,8.0,62.591,12053
12,55,2008,6.7,40.633,12055
12,57,2008,5.9,595.242,12057
12,59,2008,4.7,8.951,12059
