Year,State,State.Minimum.Wage,State.Minimum.Wage.2020.Dollars,Federal.Minimum.Wage,Federal.Minimum.Wage.2020.Dollars,Effective.Minimum.Wage,Effective.Minimum.Wage.2020.Dollars,CPI.Average
1968,Alabama,0,0,1.15,8.55,1.15,8.55,34.8
1968,Alaska,2.1,15.61,1.15,8.55,2.1,15.61,34.8
1968,Arizona,0.468,3.48,1.15,8.55,1.15,8.55,34.8
1968,Arkansas,0.15625,1.16,1.15,8.55,1.15,8.55,34.8
1968,California,1.65,12.26,1.15,8.55,1.65,12.26,34.8
1968,Colorado,1,7.43,1.15,8.55,1.15,8.55,34.8
1968,Connecticut,1.4,10.41,1.15,8.55,1.4,10.41,34.8
1968,Delaware,1.25,9.29,1.15,8.55,1.25,9.29,34.8
1968,District of Columbia,1.25,9.29,1.15,8.55,1.25,9.29,34.8
1968,Florida,0,0,1.15,8.55,1.15,8.55,34.8
1968,Georgia,0,0,1.15,8.55,1.15,8.55,34.8
1968,Guam,1.25,9.29,1.15,8.55,1.25,9.29,34.8
1968,Hawaii,1.25,9.29,1.15,8.55,1.25,9.29,34.8
1968,Idaho,1.15,8.55,1.15,8.55,1.15,8.55,34.8
1968,Illinois,0,0,1.15,8.55,1.15,8.55,34.8
1968,Indiana,1.15,8.55,1.15,8.55,1.15,8.55,34.8
1968,Iowa,0,0,1.15,8.55,1.15,8.55,34.8
1968,Kansas,0,0,1.15,8.55,1.15,8.55,34.8
1968,Kentucky,0.65,4.83,1.15,8.55,1.15,8.55,34.8
1968,Louisiana,0,0,1.15,8.55,1.15,8.55,34.8
1968,Maine,1.4,10.41,1.15,8.55,1.4,10.41,34.8
1968,Maryland,1,7.43,1.15,8.55,1.15,8.55,34.8
1968,Massachusetts,1.6,11.89,1.15,8.55,1.6,11.89,34.8
1968,Michigan,1.25,9.29,1.15,8.55,1.25,9.29,34.8
1968,Minnesota,0.7,5.2,1.15,8.55,1.15,8.55,34.8
1968,Mississippi,0,0,1.15,8.55,1.15,8.55,34.8
1968,Missouri,0,0,1.15,8.55,1.15,8.55,34.8
1968,Montana,0,0,1.15,8.55,1.15,8.55,34.8
1968,Nebraska,1,7.43,1.15,8.55,1.15,8.55,34.8
1968,Nevada,1.25,9.29,1.15,8.55,1.25,9.29,34.8
1968,New Hampshire,1.4,10.41,1.15,8.55,1.4,10.41,34.8
1968,New Jersey,1.4,10.41,1.15,8.55,1.4,10.41,34.8
1968,New Mexico,1.15,8.55,1.15,8.55,1.15,8.55,34.8
1968,New York,1.6,11.89,1.15,8.55,1.6,11.89,34.8
1968,North Carolina,1,7.43,1.15,8.55,1.15,8.55,34.8
1968,North Dakota,1,7.43,1.15,8.55,1.15,8.55,34.8
1968,Ohio,0.75,5.57,1.15,8.55,1.15,8.55,34.8
1968,Oklahoma,1,7.43,1.15,8.55,1.15,8.55,34.8
1968,Oregon,1.25,9.29,1.15,8.55,1.25,9.29,34.8
1968,Pennsylvania,1.15,8.55,1.15,8.55,1.15,8.55,34.8
1968,Puerto Rico,0.43,3.2,1.15,8.55,1.15,8.55,34.8
1968,Rhode Island,1.4,10.41,1.15,8.55,1.4,10.41,34.8
1968,South Carolina,0,0,1.15,8.55,1.15,8.55,34.8
1968,South Dakota,0.425,3.16,1.15,8.55,1.15,8.55,34.8
1968,Tennessee,0,0,1.15,8.55,1.15,8.55,34.8
1968,Texas,0,0,1.15,8.55,1.15,8.55,34.8
1968,U.S. Virgin Islands,0,0,1.15,8.55,1.15,8.55,34.8
1968,Utah,1,7.43,1.15,8.55,1.15,8.55,34.8
1968,Vermont,1.4,10.41,1.15,8.55,1.4,10.41,34.8
1968,Virginia,0,0,1.15,8.55,1.15,8.55,34.8
1968,Washington,1.6,11.89,1.15,8.55,1.6,11.89,34.8
1968,West Virginia,1,7.43,1.15,8.55,1.15,8.55,34.8
1968,Wisconsin,1.25,9.29,1.15,8.55,1.25,9.29,34.8
1968,Wyoming,1.2,8.92,1.15,8.55,1.2,8.92,34.8
1969,Alabama,0,0,1.15,8.11,1.15,8.11,36.7
1969,Alaska,2.1,14.8,1.15,8.11,2.1,14.8,36.7
1969,Arizona,0.468,3.3,1.15,8.11,1.15,8.11,36.7
1969,Arkansas,0.15625,1.1,1.15,8.11,1.15,8.11,36.7
1969,California,1.65,11.63,1.15,8.11,1.65,11.63,36.7
1969,Colorado,1,7.05,1.15,8.11,1.15,8.11,36.7
1969,Connecticut,1.4,9.87,1.15,8.11,1.4,9.87,36.7
1969,Delaware,1.25,8.81,1.15,8.11,1.25,8.81,36.7
1969,District of Columbia,1.25,8.81,1.15,8.11,1.25,8.81,36.7
1969,Florida,0,0,1.15,8.11,1.15,8.11,36.7
1969,Georgia,0,0,1.15,8.11,1.15,8.11,36.7
1969,Guam,1.25,8.81,1.15,8.11,1.25,8.81,36.7
1969,Hawaii,1.25,8.81,1.15,8.11,1.25,8.81,36.7
1969,Idaho,1.15,8.11,1.15,8.11,1.15,8.11,36.7
1969,Illinois,0,0,1.15,8.11,1.15,8.11,36.7
1969,Indiana,1.15,8.11,1.15,8.11,1.15,8.11,36.7
1969,Iowa,0,0,1.15,8.11,1.15,8.11,36.7
1969,Kansas,0,0,1.15,8.11,1.15,8.11,36.7
1969,Kentucky,0.65,4.58,1.15,8.11,1.15,8.11,36.7
1969,Louisiana,0,0,1.15,8.11,1.15,8.11,36.7
1969,Maine,1.4,9.87,1.15,8.11,1.4,9.87,36.7
1969,Maryland,1,7.05,1.15,8.11,1.15,8.11,36.7
1969,Massachusetts,1.6,11.28,1.15,8.11,1.6,11.28,36.7
1969,Michigan,1.25,8.81,1.15,8.11,1.25,8.81,36.7
1969,Minnesota,0.7,4.93,1.15,8.11,1.15,8.11,36.7
1969,Mississippi,0,0,1.15,8.11,1.15,8.11,36.7
1969,Missouri,0,0,1.15,8.11,1.15,8.11,36.7
1969,Montana,0,0,1.15,8.11,1.15,8.11,36.7
1969,Nebraska,1,7.05,1.15,8.11,1.15,8.11,36.7
1969,Nevada,1.25,8.81,1.15,8.11,1.25,8.81,36.7
1969,New Hampshire,1.4,9.87,1.15,8.11,1.4,9.87,36.7
1969,New Jersey,1.4,9.87,1.15,8.11,1.4,9.87,36.7
1969,New Mexico,1.15,8.11,1.15,8.11,1.15,8.11,36.7
1969,New York,1.6,11.28,1.15,8.11,1.6,11.28,36.7
1969,North Carolina,1,7.05,1.15,8.11,1.15,8.11,36.7
1969,North Dakota,1,7.05,1.15,8.11,1.15,8.11,36.7
1969,Ohio,0.75,5.29,1.15,8.11,1.15,8.11,36.7
1969,Oklahoma,1,7.05,1.15,8.11,1.15,8.11,36.7
1969,Oregon,1.25,8.81,1.15,8.11,1.25,8.81,36.7
1969,Pennsylvania,1.15,8.11,1.15,8.11,1.15,8.11,36.7
1969,Puerto Rico,0.43,3.03,1.15,8.11,1.15,8.11,36.7
1969,Rhode Island,1.4,9.87,1.15,8.11,1.4,9.87,36.7
1969,South Carolina,0,0,1.15,8.11,1.15,8.11,36.7
