fips,state,year,month,population,unemployment
01,Alabama,1976,01,2605000.00,6.6   
02,Alaska,1976,01,232000.00,7.1   
04,Arizona,1976,01,1621000.00,10.2   
05,Arkansas,1976,01,1536000.00,7.3   
06,California,1976,01,15621000.00,9.2   
037,Los Angeles County,1976,01,5273000.00,8.9   
08,Colorado,1976,01,1832000.00,5.8   
09,Connecticut,1976,01,2248000.00,9.8   
10,Delaware,1976,01,417000.00,8.0   
11,District of Columbia,1976,01,520000.00,8.7   
12,Florida,1976,01,6421000.00,9.7   
13,Georgia,1976,01,3522000.00,8.4   
15,Hawaii,1976,01,583000.00,9.8   
16,Idaho,1976,01,580000.00,5.6   
17,Illinois,1976,01,8127000.00,6.6   
18,Indiana,1976,01,3789000.00,6.6   
19,Iowa,1976,01,2066000.00,4.3   
20,Kansas,1976,01,1635000.00,4.2   
21,Kentucky,1976,01,2459000.00,5.6   
22,Louisiana,1976,01,2672000.00,6.3   
23,Maine,1976,01,764000.00,8.7   
24,Maryland,1976,01,2954000.00,6.4   
25,Massachusetts,1976,01,4194000.00,10.5   
26,Michigan,1976,01,6417000.00,9.9   
27,Minnesota,1976,01,2788000.00,6.0   
28,Mississippi,1976,01,1640000.00,6.7   
29,Missouri,1976,01,3464000.00,5.9   
30,Montana,1976,01,531000.00,5.8   
31,Nebraska,1976,01,1095000.00,3.3   
32,Nevada,1976,01,451000.00,9.2   
33,New Hampshire,1976,01,593000.00,6.5   
34,New Jersey,1976,01,5358000.00,10.3   
35,New Mexico,1976,01,792000.00,8.6   
36,New York,1976,01,13196000.00,10.3   
51000,New York city,1976,01,5694000.00,11.2   
37,North Carolina,1976,01,3898000.00,6.4   
38,North Dakota,1976,01,442000.00,3.4   
39,Ohio,1976,01,7701000.00,8.1   
40,Oklahoma,1976,01,1999000.00,5.8   
41,Oregon,1976,01,1716000.00,9.5   
42,Pennsylvania,1976,01,8774000.00,8.0   
44,Rhode Island,1976,01,691000.00,7.8   
45,South Carolina,1976,01,1984000.00,7.4   
46,South Dakota,1976,01,477000.00,3.3   
47,Tennessee,1976,01,3078000.00,6.0   
48,Texas,1976,01,8818000.00,5.8   
49,Utah,1976,01,824000.00,5.8   
50,Vermont,1976,01,339000.00,8.6   
51,Virginia,1976,01,3534000.00,6.1   
53,Washington,1976,01,2598000.00,8.5   
54,West Virginia,1976,01,1352000.00,7.5   
55,Wisconsin,1976,01,3245000.00,5.8   
56,Wyoming,1976,01,270000.00,4.1   
01,Alabama,1976,02,2610000.00,6.6   
02,Alaska,1976,02,234000.00,7.1   
04,Arizona,1976,02,1626000.00,10.2   
05,Arkansas,1976,02,1538000.00,7.3   
06,California,1976,02,15657000.00,9.2   
037,Los Angeles County,1976,02,5283000.00,8.9   
08,Colorado,1976,02,1837000.00,5.7   
09,Connecticut,1976,02,2251000.00,9.8   
10,Delaware,1976,02,418000.00,8.0   
11,District of Columbia,1976,02,519000.00,8.7   
12,Florida,1976,02,6437000.00,9.7   
13,Georgia,1976,02,3528000.00,8.4   
15,Hawaii,1976,02,585000.00,9.8   
16,Idaho,1976,02,582000.00,5.6   
17,Illinois,1976,02,8136000.00,6.6   
18,Indiana,1976,02,3793000.00,6.6   
19,Iowa,1976,02,2069000.00,4.3   
20,Kansas,1976,02,1637000.00,4.2   
21,Kentucky,1976,02,2465000.00,5.6   
22,Louisiana,1976,02,2678000.00,6.3   
23,Maine,1976,02,766000.00,8.7   
24,Maryland,1976,02,2958000.00,6.4   
25,Massachusetts,1976,02,4198000.00,10.5   
26,Michigan,1976,02,6424000.00,9.9   
27,Minnesota,1976,02,2793000.00,6.0   
28,Mississippi,1976,02,1644000.00,6.7   
29,Missouri,1976,02,3469000.00,5.9   
30,Montana,1976,02,532000.00,5.8   
31,Nebraska,1976,02,1096000.00,3.3   
32,Nevada,1976,02,454000.00,9.2   
33,New Hampshire,1976,02,595000.00,6.5   
34,New Jersey,1976,02,5363000.00,10.3   
35,New Mexico,1976,02,795000.00,8.7   
36,New York,1976,02,13202000.00,10.3   
51000,New York city,1976,02,5692000.00,11.2   
37,North Carolina,1976,02,3905000.00,6.4   
