Percentile Point,"Net equivalised household income in 2010-11, week","Childless couple, annual income","Couple, two children under 14","Couple, three children under 14",Couple with one child under 14,Couple with two children aged 15 to 18,"Couple, two children under 14 plus dependent adult",Single adult,"Lone parent, one child under 14","Lone parent, two children under 14","Lone parent, two children aged 15-18",ANNOTATIONS,1979 to 1996-97,1996-97 to 2009-10,1996-97 to 2010-11
1,33.5,"1,746.92","2,445.69","2,795.08","2,096.31","2,899.89","3,022.18","1,170.44","1,519.82","1,869.21","2,323.41",,,,
2,98.6,"5,141.01","7,197.41","8,225.61","6,169.21","8,534.07","8,893.95","3,444.48","4,472.68","5,500.88","6,837.54",,-0.20%,-1.30%,-0.50%
3,128.56,"6,703.11","9,384.36","10,724.98","8,043.74","11,127.17","11,596.39","4,491.09","5,831.71","7,172.33","8,915.14",,0.40%,0.10%,0.10%
4,151.05,"7,875.75","11,026.05","12,601.20","9,450.90","13,073.75","13,625.05","5,276.75","6,851.90","8,427.05","10,474.75",,0.50%,0.80%,0.60%
5,166.32,"8,671.91","12,140.68","13,875.06","10,406.30","14,395.38","15,002.41","5,810.18","7,544.57","9,278.95","11,533.65",,0.70%,1.00%,0.90%
6,178.41,"9,302.29","13,023.21","14,883.67","11,162.75","15,441.81","16,092.97","6,232.54","8,092.99","9,953.45","12,372.05",,0.70%,1.30%,1.00%
7,190.12,"9,912.76","13,877.86","15,860.41","11,895.31","16,455.18","17,149.07","6,641.55","8,624.10","10,606.65","13,183.97",,0.80%,1.50%,1.20%
8,199.7,"10,412.18","14,577.05","16,659.49","12,494.62","17,284.22","18,013.07","6,976.16","9,058.60","11,141.03","13,848.20",,0.80%,1.60%,1.40%
9,207.64,"10,826.28","15,156.79","17,322.05","12,991.54","17,971.63","18,729.47","7,253.61","9,418.87","11,584.12","14,398.95",,0.80%,1.70%,1.50%
10,215.86,"11,255.16","15,757.23","18,008.26","13,506.20","18,683.57","19,471.43","7,540.96","9,791.99","12,043.03","14,969.37",,0.80%,1.70%,1.50%
11,222.4,"11,596.12","16,234.57","18,553.79","13,915.34","19,249.56","20,061.28","7,769.40","10,088.62","12,407.85","15,422.84",,0.80%,1.80%,1.60%
12,228.95,"11,937.48","16,712.47","19,099.97","14,324.97","19,816.22","20,651.84","7,998.11","10,385.61","12,773.10","15,876.85",,0.90%,1.80%,1.60%
13,234.75,"12,239.89","17,135.84","19,583.82","14,687.86","20,318.21","21,175.00","8,200.72","10,648.70","13,096.68","16,279.05",,0.90%,1.80%,1.60%
14,240.34,"12,531.16","17,543.63","20,049.86","15,037.39","20,801.73","21,678.91","8,395.88","10,902.11","13,408.34","16,666.44",,0.90%,1.90%,1.60%
15,245.63,"12,807.35","17,930.28","20,491.75","15,368.82","21,260.19","22,156.71","8,580.92","11,142.39","13,703.86","17,033.77",,0.90%,1.90%,1.70%
16,250.82,"13,077.62","18,308.67","20,924.20","15,693.15","21,708.86","22,624.29","8,762.01","11,377.53","13,993.06","17,393.24",Poverty line,0.90%,1.90%,1.70%
17,255.68,"13,331.05","18,663.47","21,329.68","15,997.26","22,129.54","23,062.72","8,931.80","11,598.01","14,264.22","17,730.30",,1.00%,1.90%,1.70%
18,260.45,"13,579.68","19,011.55","21,727.48","16,295.61","22,542.26","23,492.84","9,098.38","11,814.32","14,530.25","18,060.97",,1.00%,1.90%,1.70%
19,265.53,"13,844.94","19,382.91","22,151.90","16,613.93","22,982.60","23,951.74","9,276.11","12,045.10","14,814.08","18,413.77",,1.00%,1.90%,1.70%
20,271.02,"14,130.95","19,783.32","22,609.51","16,957.14","23,457.37","24,446.54","9,467.73","12,293.92","15,120.11","18,794.16",,1.00%,2.00%,1.70%
21,275.57,"14,368.13","20,115.38","22,989.00","17,241.75","23,851.09","24,856.86","9,626.64","12,500.27","15,373.89","19,109.61",,0.90%,2.00%,1.70%
22,280.24,"14,611.81","20,456.54","23,378.90","17,534.18","24,255.61","25,278.44","9,789.91","12,712.28","15,634.64","19,433.71",,0.90%,2.00%,1.70%
23,284.86,"14,852.45","20,793.44","23,763.93","17,822.95","24,655.07","25,694.75","9,951.14","12,921.64","15,892.13","19,753.76",,0.90%,1.90%,1.70%
