Country or Area,City
ÌÉland Islands,MARIEHAMN
Argentina,BahÌ_a Blanca-Cerri
Argentina,BUENOS AIRES
Argentina,Catamarca
Argentina,Comodoro Rivadavia-Rada Tilly
Argentina,Concordia
Argentina,CÌ_rdoba
Argentina,Corrientes
Argentina,Formosa
Argentina,La Plata
Argentina,La Rioja
Argentina,San Luis - El Chorrillo
Argentina,Mar del Plata-BatÌÁn
Argentina,Mendoza
Argentina,NeuquÌ©n-Plottier
Argentina,ParanÌÁ
Argentina,Posadas
Argentina,Rawson-Trelew-Playa UniÌ_n
Argentina,Resistencia
Argentina,RÌ_o Cuarto
Argentina,Rosario
Argentina,Salta
Argentina,San Juan
Argentina,San NicolÌÁs-Villa ConstituciÌ_n
Argentina,San Salvador de Jujuy-PalpalÌÁ
Argentina,Santa FÌ©
Argentina,Santa Rosa-Toay
Argentina,Santiago del Estero-La Banda
Argentina,TucumÌÁn-TafÌ_ Viejo
Argentina,Ushuaia-RÌ_o Grande
Australia,Adelaide
Australia,Brisbane
Australia,Cairns
Australia,Canberra-Queanbeyan
Australia,Central Coast
Australia,Darwin
Australia,Geelong
Australia,Gold Coast-Tweed Heads
Australia,Greater Adelaide
Australia,Greater Brisbane
Australia,Greater Darwin
Australia,Greater Hobart
Australia,Greater Melbourne
Australia,Greater Perth
Australia,Greater Sydney
Australia,Hobart
Australia,Melbourne
Australia,Newcastle-Maitland
Australia,Perth
Australia,Sunshine Coast
Australia,Sydney
Australia,Toowoomba
Australia,Townsville
Australia,Wollongong
Austria,Bregenz
Austria,Eisenstadt
Austria,Graz
Austria,Innsbruck
Austria,Klagenfurt
Austria,Linz
Austria,Salzburg
Austria,Sankt PÌ_lten
Austria,WIEN
Azerbaijan,BAKU
Azerbaijan,Ganja
Azerbaijan,Sumgayit
Belarus,Baranovichi
Belarus,Bobruisk
Belarus,Borisov
Belarus,Brest
Belarus,Gomel
Belarus,Grodno
Belarus,MINSK
Belarus,Mogilev
Belarus,Mozir
Belarus,Novopolotsk
Belarus,Orsha
Belarus,Pinsk
Belarus,Soligorsk
Belarus,Vitebsk
Bulgaria,Burgas
Bulgaria,Pleven
Bulgaria,Plovdiv
Bulgaria,Ruse
Bulgaria,SOFIA
Bulgaria,Stara Zagora
Bulgaria,Varna
Chile,Antofagasta
Chile,Arica
Chile,Calama
Chile,Chiguallante
Chile,ChillÌÁn
Chile,ConcepciÌ_n
Chile,Coronel
Chile,CopiapÌ_
Chile,Coquimbo
Chile,Iquique
Chile,La Serena
Chile,Los Angeles
Chile,Osorno
Chile,Puente Alto
Chile,Puerto Montt
Chile,Punta Arenas
Chile,QuilpuÌ©
Chile,Rancagua
Chile,San Bernardo
Chile,SANTIAGO
Chile,Talca
Chile,Talcahuano
Chile,Temuco
Chile,Valdivia
Chile,ValparaÌ_so
Chile,Villa Alemana
Chile,ViÌ±a del Mar
"China, Hong Kong SAR",HONG KONG SAR
"China, Macao SAR",MACAO
Cuba,Bayamo
Cuba,CamagÌ_ey
Cuba,Ciego de Avila
Cuba,Cienfuegos
Cuba,GuantÌÁnamo
Cuba,HolguÌ_n
Cuba,LA HABANA
Cuba,Las Tunas
Cuba,Matanzas
Cuba,Pinar del RÌ_o
Cuba,Sancti SpÌ_ritus
Cuba,Santa Clara
Cuba,Santiago de Cuba
Czech Republic,Brno
Czech Republic,Hradec KrÌÁlovÌ©
Czech Republic,Liberec
Czech Republic,Olomouc
Czech Republic,Ì_stÌ_ nad Labem
Czech Republic,Ostrava
Czech Republic,Plzen
Czech Republic,PRAHA
Denmark,ÌÉlborg
Denmark,ÌÉrhus
Denmark,Esbjerg
Denmark,Frederiksberg
Denmark,KOBENHAVN
Denmark,Odense
Denmark,Vejle
Estonia,TALLINN
Finland,Espoo
Finland,HELSINKI
Finland,Jyvaskyla
Finland,Kuopio
Finland,Lahti
Finland,Oulu
Finland,Tampere
Finland,Turku
Finland,Vantaa
French Polynesia,PAPEETE
Germany,Aachen
Germany,Augsburg
Germany,Bergisch Gladbach
Germany,BERLIN
Germany,Bielefeld
Germany,Bochum
Germany,Bonn
Germany,Bottrop
Germany,Braunschweig
Germany,Bremen
Germany,Bremerhaven
Germany,Chemnitz
Germany,Cottbus
Germany,Darmstadt
Germany,Dortmund
Germany,Dresden
Germany,Duisburg
Germany,DÌ_sseldorf
Germany,Erfurt
Germany,Erlangen
Germany,Essen
Germany,Frankfurt am Main
Germany,Freiburg im Breisgau
Germany,FÌ_rth
Germany,Gelsenkirchen
Germany,GÌ_ttingen
Germany,Hagen
Germany,Halle
Germany,Hamburg
Germany,Hamm
Germany,Hannover
Germany,Heidelberg
Germany,Heilbronn
Germany,Herne
Germany,Hildesheim
Germany,Ingolstadt
Germany,Jena
Germany,Karlsruhe
Germany,Kassel
Germany,Kiel
Germany,Koblenz
Germany,KÌ_ln
Germany,Krefeld
Germany,Leipzig
Germany,Leverkusen
Germany,LÌ_beck
Germany,Ludwigshafen am Rhein
Germany,Magdeburg
Germany,Mainz
Germany,Mannheim
Germany,Moers
Germany,MÌ_nchengladbach
Germany,MÌ_lheim an der Ruhr
Germany,MÌ_nchen
Germany,MÌ_nster (Westf.)
Germany,Neuss
Germany,NÌ_rnberg
Germany,Oberhausen
Germany,Offenbach am Main
Germany,Oldenburg
Germany,OsnabrÌ_ck
Germany,Paderborn
Germany,Pforzheim
Germany,Potsdam
Germany,Recklinghausen
Germany,Regensburg
Germany,Remscheid
Germany,Reutlingen
Germany,Rostock
Germany,SaarbrÌ_cken
Germany,Salzgitter
Germany,Siegen
Germany,Solingen
Germany,Stuttgart
Germany,Trier
Germany,Ulm
Germany,Wiesbaden
Germany,Wolfsburg
Germany,Wuppertal
Germany,WÌ_rzburg
Gibraltar,GIBRALTAR
Greenland,NUUK (GODTHAB)
Holy See,VATICAN CITY
Hungary,BUDAPEST
Hungary,BUDAPEST
Hungary,Debrecen
Hungary,Debrecen
Hungary,GyÌ_r
Hungary,GyÌ_r
Hungary,KecskemÌ©t
Hungary,KecskemÌ©t
Hungary,Miskolc
Hungary,Miskolc
Hungary,Nyiregyhaza
Hungary,Nyiregyhaza
Hungary,PÌ©cs
Hungary,PÌ©cs
Hungary,Szeged
Hungary,Szeged
Iceland,REYKJAVIK
Iceland,REYKJAVIK
Israel,Ashdod
Israel,Ashqelon
Israel,Bat Yam
Israel,Be'er Sheva
Israel,Bene Beraq
Israel,Haifa
Israel,Holon
Israel,JERUSALEM
Israel,Netanya
Israel,Petah Tiqwa
Israel,Ramat Gan
Israel,Rehovot
Israel,Rishon Leziyyon
Israel,Tel Aviv-Yafo
Italy,Ancona
Italy,Bari
Italy,Bergamo
Italy,Bologna
Italy,Bolzano
Italy,Brescia
Italy,Cagliari
Italy,Catania
Italy,Ferrara
Italy,Firenze
Italy,Foggia
Italy,Forli
Italy,Genova
Italy,Giugliano in Campania
Italy,Latina
Italy,Livorno
Italy,Messina
Italy,Milano
Italy,Modena
Italy,Monza
Italy,Napoli
Italy,Novara
Italy,Padova
Italy,Palermo
Italy,Parma
Italy,Perugia
Italy,Pescara
Italy,Piacenza
Italy,Prato
Italy,Ravenna
Italy,Reggio di Calabria
Italy,Reggio nell'Emilia
Italy,Rimini
Italy,ROMA
Italy,Salerno
Italy,Sassari
Italy,Siracusa
Italy,Taranto
Italy,Terni
Italy,Torino
Italy,Trento
Italy,Trieste
Italy,Venezia
Italy,Verona
Italy,Vicenza
Kyrgyzstan,BISHKEK
Kyrgyzstan,BISHKEK
Kyrgyzstan,Osh
Kyrgyzstan,Osh
Luxembourg,LUXEMBOURG-VILLE
Maldives,MALÌä
Mauritius,Beau Bassin - Rose Hill
Mauritius,PORT LOUIS
Mauritius,Vacoas - Phoenix
New Zealand,Auckland
New Zealand,Christchurch
New Zealand,Dunedin
New Zealand,Hamilton
New Zealand,Hamilton
New Zealand,Lower Hutt
New Zealand,Napier-Hastings
New Zealand,Tauranga
New Zealand,Tauranga
New Zealand,WELLINGTON
New Zealand,WELLINGTON
Norway,Bergen
Norway,OSLO
Norway,Stavanger
Norway,Trondheim
Pitcairn,ADAMSTOWN
Poland,Bialystok
Poland,Bielsko-Biala
Poland,Bydgoszcz
Poland,Bytom
Poland,ChorzÌ_w
Poland,Czestochowa
Poland,Dabrowa GÌ_rnicza
Poland,Elblag
Poland,Gdansk
Poland,Gdynia
Poland,Gliwice
Poland,GorzÌ_w Wielkopolski
Poland,Grudziadz
Poland,Jastrzebie-ZdrÌ_j
Poland,Kalisz
Poland,Katowice
Poland,Kielce
Poland,Koszalin
Poland,KrakÌ_w
Poland,Legnica
Poland,LÌ_dz
Poland,Lublin
Poland,Olsztyn
Poland,Opole
Poland,Plock
Poland,Poznan
Poland,Radom
Poland,Ruda Slaska
Poland,Rybnik
Poland,RzeszÌ_w
Poland,Slupsk
Poland,Sosnowiec
Poland,Szczecin
Poland,TarnÌ_w
Poland,Torun
Poland,Tychy
Poland,Walbrzych
Poland,WARSZAWA
Poland,Wloclawek
Poland,Wroclaw
Poland,Zabrze
Poland,Zielona GÌ_ra
Portugal,Amadora
Portugal,LISBOA
Portugal,Porto
Puerto Rico,Arecibo
Puerto Rico,BayamÌ_n
Puerto Rico,Caguas
Puerto Rico,Carolina
Puerto Rico,Guaynabo
Puerto Rico,Ponce
Puerto Rico,SAN JUAN
Republic of Moldova,Balti (Beltsy)
Republic of Moldova,CHISINAU (KISHINEV)
Republic of Moldova,CHISINAU (KISHINEV)
Romania,Arad
Romania,Bacau
Romania,Baia Mare
Romania,Botosani
Romania,Braila
Romania,Brasov
Romania,BUCURESTI
Romania,Buzau
Romania,Cluj-Napoca
Romania,Constanta
Romania,Craiova
Romania,Drobeta Turnu-Severin
Romania,Focsani
Romania,Galati
Romania,Iasi
Romania,Oradea
Romania,Piatra Neamt
Romania,Pitesti
Romania,Ploiesti
Romania,Rimnicu Vilcea
Romania,Satu-Mare
Romania,Sibiu
Romania,Suceava
Romania,Timisoara
Romania,Tirgu-Mures
Russian Federation,Abakan
Russian Federation,Achinsk
Russian Federation,Achinsk
Russian Federation,Almetievsk
Russian Federation,Anapa
Russian Federation,Angarsk
Russian Federation,Arkhangelsk
Russian Federation,Arkhangelsk
Russian Federation,Armavir
Russian Federation,Armavir
Russian Federation,Artem (Primorskiy Krai)
Russian Federation,Artem (Primorskiy Krai)
Russian Federation,Arzamas
Russian Federation,Astrakhan
Russian Federation,Balakovo
Russian Federation,Balashikha
Russian Federation,Balashikha
Russian Federation,Barnaul
Russian Federation,Barnaul
Russian Federation,Bataisk
Russian Federation,Belgorod
Russian Federation,Belovo
Russian Federation,Berezniki
Russian Federation,Biisk
Russian Federation,Biisk
Russian Federation,Blagoveshchensk (Amurskaya oblast)
Russian Federation,Blagoveshchensk (Amurskaya oblast)
Russian Federation,Bor
Russian Federation,Bratsk
Russian Federation,Bryansk
Russian Federation,Bryansk
Russian Federation,Chaykovsky
Russian Federation,Cheboksary
Russian Federation,Cheboksary
Russian Federation,Chelyabinsk
Russian Federation,Cherepovets
Russian Federation,Cherkessk
Russian Federation,Chita
Russian Federation,Chita
Russian Federation,Derbent
Russian Federation,Dimitrovgrad
Russian Federation,Domodedovo
Russian Federation,Dzerzhinsk (Nizhegorodskaya oblast)
Russian Federation,Dzerzhinsk (Nizhegorodskaya oblast)
Russian Federation,Ekaterinburg
Russian Federation,Ekaterinburg
Russian Federation,Elektrostal
Russian Federation,Elets
Russian Federation,Elista
Russian Federation,Elista
Russian Federation,Engels
Russian Federation,Engels
Russian Federation,Esentuky
Russian Federation,Groznyi
Russian Federation,Hasaviurt
Russian Federation,Irkutsk
Russian Federation,Ivanovo
Russian Federation,Izhevsk
Russian Federation,Kaliningrad (Kaliningradskaya oblast)
Russian Federation,Kaluga
Russian Federation,Kaluga
Russian Federation,Kamensk-Uralsky
Russian Federation,Kamensk-Uralsky
Russian Federation,Kamyshin
Russian Federation,Kaspiysk
Russian Federation,Kazan
Russian Federation,Kemerovo
Russian Federation,Khabarovsk
Russian Federation,Khimki
Russian Federation,Kirov
Russian Federation,Kirov
Russian Federation,Kiselevsk
Russian Federation,Kislovodsk
Russian Federation,Kislovodsk
Russian Federation,Kolomna
Russian Federation,Komsomolsk-na-Amure
Russian Federation,Kopeysk
Russian Federation,Kopeysk
Russian Federation,Korolev (Moskovskaya oblast)
Russian Federation,Kostroma
Russian Federation,Kovrov
Russian Federation,Krasnodar
Russian Federation,Krasnodar
Russian Federation,Krasnogorsk
Russian Federation,Krasnogorsk
Russian Federation,Krasnoyarsk
Russian Federation,Krasnoyarsk
Russian Federation,Kurgan
Russian Federation,Kursk
Russian Federation,Kyzyl
Russian Federation,Leninsk-Kuznetsky
Russian Federation,Leninsk-Kuznetsky
Russian Federation,Lipetsk
Russian Federation,Lyubertsy
Russian Federation,Magadan
Russian Federation,Magadan
Russian Federation,Magnitogorsk
Russian Federation,Maikop
Russian Federation,Maikop
Russian Federation,Makhachkala
Russian Federation,Makhachkala
Russian Federation,Mezhdurechensk
Russian Federation,Mezhdurechensk
Russian Federation,Miass
Russian Federation,Miass
Russian Federation,MOSKVA
Russian Federation,Murmansk
Russian Federation,Murom
Russian Federation,Murom
Russian Federation,Mytishchi
Russian Federation,Mytishchi
Russian Federation,Naberezhnye Tchelny
Russian Federation,Nakhodka
Russian Federation,Nakhodka
Russian Federation,Naltchik
Russian Federation,Naltchik
Russian Federation,Nazran
Russian Federation,Neftekamsk
Russian Federation,Neftekamsk
Russian Federation,Nefteyugansk
Russian Federation,Nevinnomyssk
Russian Federation,Nizhnekamsk
Russian Federation,Nizhnekamsk
Russian Federation,Nizhnevartovsk
Russian Federation,Nizhny Novgorod
Russian Federation,Nizhny Novgorod
Russian Federation,Nizhny Tagil
Russian Federation,Nizhny Tagil
Russian Federation,Noginsk
Russian Federation,Noginsk
Russian Federation,Norilsk
Russian Federation,Norilsk
Russian Federation,Novocheboksarsk
Russian Federation,Novocherkassk
Russian Federation,Novokuybishevsk
Russian Federation,Novokuybishevsk
Russian Federation,Novokuznetsk
Russian Federation,Novomoskovsk (Tulskaya oblast)
Russian Federation,Novomoskovsk (Tulskaya oblast)
Russian Federation,Novorossiysk
Russian Federation,Novorossiysk
Russian Federation,Novoshakhtinsk
Russian Federation,Novosibirsk
Russian Federation,Novotroitsk
Russian Federation,Novy Urengoy
Russian Federation,Noyabrsk
Russian Federation,Obninsk
Russian Federation,Odintsovo
Russian Federation,Odintsovo
Russian Federation,Oktyabrsky
Russian Federation,Omsk
Russian Federation,Orekhovo-Zuevo
Russian Federation,Orel
Russian Federation,Orenburg
Russian Federation,Orenburg
Russian Federation,Orsk
Russian Federation,Orsk
Russian Federation,Penza
Russian Federation,Perm
Russian Federation,Perm
Russian Federation,Pervouralsk
Russian Federation,Pervouralsk
Russian Federation,Petropavlovsk-Kamchatsky
Russian Federation,Petrozavodsk
Russian Federation,Podolsk
Russian Federation,Prokopyevsk
Russian Federation,Pskov
Russian Federation,Pushkino
Russian Federation,Pyatigorsk
Russian Federation,Pyatigorsk
Russian Federation,Rostov-na-Donu
Russian Federation,Rubtsovsk
Russian Federation,Ryazan
Russian Federation,Rybinsk
Russian Federation,Salavat
Russian Federation,Samara (Samarskaya oblast)
Russian Federation,Samara (Samarskaya oblast)
Russian Federation,Saransk
Russian Federation,Saransk
Russian Federation,Sarapyul
Russian Federation,Saratov
Russian Federation,Sergiev Posad
Russian Federation,Sergiev Posad
Russian Federation,Serov
Russian Federation,Serpukhov
Russian Federation,Severodvinsk
Russian Federation,Severodvinsk
Russian Federation,Seversk
Russian Federation,Seversk
Russian Federation,Shakhty
Russian Federation,Shchelkovo
Russian Federation,Shchelkovo
Russian Federation,Smolensk
Russian Federation,Sochi
Russian Federation,Sochi
Russian Federation,St. Petersburg
Russian Federation,Stary Oskol
Russian Federation,Stary Oskol
Russian Federation,Stavropol
Russian Federation,Stavropol
Russian Federation,Sterlitamak
Russian Federation,Surgut
Russian Federation,Syktivkar
Russian Federation,Syktivkar
Russian Federation,Syzran
Russian Federation,Syzran
Russian Federation,Taganrog
Russian Federation,Tambov
Russian Federation,Tobolsk
