Year,Area,Sex,City,City type,Record Type,Reliability,Source Year,Value,Value Footnotes
2013,Total,Both Sexes,MARIEHAMN,City proper,Estimate - de jure,"Final figure, complete",2014,11370,
2013,Total,Male,MARIEHAMN,City proper,Estimate - de jure,"Final figure, complete",2014,5445,
2013,Total,Female,MARIEHAMN,City proper,Estimate - de jure,"Final figure, complete",2014,5925,
2012,Total,Both Sexes,MARIEHAMN,City proper,Estimate - de jure,"Final figure, complete",2013,11304.5,
2012,Total,Male,MARIEHAMN,City proper,Estimate - de jure,"Final figure, complete",2013,5408,
2012,Total,Female,MARIEHAMN,City proper,Estimate - de jure,"Final figure, complete",2013,5896.5,
2013,Total,Both Sexes,BahÃ_a Blanca-Cerri,Urban agglomeration,Estimate - de facto,"Final figure, complete",2013,317325.705,1
2013,Total,Both Sexes,BUENOS AIRES,Urban agglomeration,Estimate - de facto,"Final figure, complete",2013,13339001.6,"1,2"
2013,Total,Both Sexes,Catamarca,Urban agglomeration,Estimate - de facto,"Final figure, complete",2013,215795.3894,1
2013,Total,Both Sexes,Comodoro Rivadavia-Rada Tilly,Urban agglomeration,Estimate - de facto,"Final figure, complete",2013,146557.3658,1
2013,Total,Both Sexes,Concordia,Urban agglomeration,Estimate - de facto,"Final figure, complete",2013,157705.7486,1
2013,Total,Both Sexes,CÃ_rdoba,Urban agglomeration,Estimate - de facto,"Final figure, complete",2013,1442000.647,1
2013,Total,Both Sexes,Corrientes,Urban agglomeration,Estimate - de facto,"Final figure, complete",2013,373981.2793,1
2013,Total,Both Sexes,Formosa,Urban agglomeration,Estimate - de facto,"Final figure, complete",2013,253508.104,1
2013,Total,Both Sexes,La Plata,Urban agglomeration,Estimate - de facto,"Final figure, complete",2013,764468.8728,1
2013,Total,Both Sexes,La Rioja,Urban agglomeration,Estimate - de facto,"Final figure, complete",2013,193763.5881,1
2013,Total,Both Sexes,San Luis - El Chorrillo,Urban agglomeration,Estimate - de facto,"Final figure, complete",2013,216609.5172,1
2013,Total,Both Sexes,Mar del Plata-BatÃ¡n,Urban agglomeration,Estimate - de facto,"Final figure, complete",2013,633905.5931,1
2013,Total,Both Sexes,Mendoza,Urban agglomeration,Estimate - de facto,"Final figure, complete",2013,923203.2972,1
2013,Total,Both Sexes,NeuquÃ©n-Plottier,Urban agglomeration,Estimate - de facto,"Final figure, complete",2013,277609.714,1
2013,Total,Both Sexes,ParanÃ¡,Urban agglomeration,Estimate - de facto,"Final figure, complete",2013,286659.493,1
2013,Total,Both Sexes,Posadas,Urban agglomeration,Estimate - de facto,"Final figure, complete",2013,312162.869,1
2013,Total,Both Sexes,Resistencia,Urban agglomeration,Estimate - de facto,"Final figure, complete",2013,406284.4726,1
2013,Total,Both Sexes,RÃ_o Cuarto,Urban agglomeration,Estimate - de facto,"Final figure, complete",2013,168400.5002,1
2013,Total,Both Sexes,Rosario,Urban agglomeration,Estimate - de facto,"Final figure, complete",2013,1284951.224,1
2013,Total,Both Sexes,Salta,Urban agglomeration,Estimate - de facto,"Final figure, complete",2013,562807.1507,1
2013,Total,Both Sexes,San Juan,Urban agglomeration,Estimate - de facto,"Final figure, complete",2013,486313.229,1
2013,Total,Both Sexes,San Salvador de Jujuy-PalpalÃ¡,Urban agglomeration,Estimate - de facto,"Final figure, complete",2013,322872.9097,1
2013,Total,Both Sexes,Santa FÃ©,Urban agglomeration,Estimate - de facto,"Final figure, complete",2013,521233.0289,1
2013,Total,Both Sexes,Santa Rosa-Toay,Urban agglomeration,Estimate - de facto,"Final figure, complete",2013,127398.5894,1
2013,Total,Both Sexes,Santiago del Estero-La Banda,Urban agglomeration,Estimate - de facto,"Final figure, complete",2013,387320.4554,1
2013,Total,Both Sexes,TucumÃ¡n-TafÃ_ Viejo,Urban agglomeration,Estimate - de facto,"Final figure, complete",2013,836411.6193,"1,3"
2013,Total,Both Sexes,Ushuaia-RÃ_o Grande,Urban agglomeration,Estimate - de facto,"Final figure, complete",2013,130617.023,1
2012,Total,Both Sexes,BahÃ_a Blanca-Cerri,Urban agglomeration,Estimate - de facto,"Final figure, complete",2012,314948,1
2012,Total,Both Sexes,BUENOS AIRES,Urban agglomeration,Estimate - de facto,"Final figure, complete",2012,13242375,"1,2"
2012,Total,Both Sexes,Catamarca,Urban agglomeration,Estimate - de facto,"Final figure, complete",2012,212174,1
